,age,job,marital,education,balance,housing,duration,campaign,approval
894,37.0,technician,married,tertiary,0,yes,77.0,1,no
895,31.0,blue-collar,married,secondary,1407,yes,142.0,3,no
896,31.0,technician,single,secondary,25,no,381.0,1,no
897,31.0,blue-collar,married,secondary,1354,yes,222.0,2,no
898,35.0,blue-collar,married,primary,793,yes,106.0,1,no
899,51.0,blue-collar,divorced,unknown,10287,yes,117.0,1,no
900,33.0,technician,single,secondary,5235,no,67.0,3,no
901,30.0,technician,single,tertiary,3,yes,45.0,2,no
902,58.0,technician,single,secondary,409,no,643.0,2,no
903,34.0,admin.,married,tertiary,35,yes,76.0,1,no
904,45.0,management,married,tertiary,-459,no,508.0,6,no
905,28.0,services,single,secondary,198,no,128.0,2,yes
906,31.0,blue-collar,married,primary,99,yes,193.0,2,no
907,40.0,management,married,tertiary,60,no,172.0,6,no
908,30.0,services,single,secondary,3485,no,142.0,2,no
909,34.0,entrepreneur,married,secondary,-139,yes,492.0,2,no
910,40.0,blue-collar,married,secondary,952,no,140.0,1,no
911,59.0,retired,married,primary,1427,no,140.0,2,no
912,43.0,technician,single,tertiary,1017,yes,257.0,2,no
913,41.0,management,married,tertiary,-29,no,41.0,2,no
914,33.0,technician,divorced,secondary,9,no,91.0,2,no
915,33.0,management,married,secondary,4040,yes,132.0,2,no
916,36.0,blue-collar,married,secondary,13,no,284.0,1,no
917,32.0,self-employed,single,secondary,1259,no,184.0,2,no
918,25.0,admin.,married,secondary,18,yes,225.0,1,no
919,25.0,blue-collar,married,secondary,-76,yes,241.0,3,no
920,38.0,technician,single,tertiary,221,no,79.0,3,no
921,34.0,management,married,tertiary,136,yes,156.0,1,no
922,67.0,blue-collar,married,secondary,16353,no,223.0,2,no
923,32.0,blue-collar,married,secondary,-63,yes,198.0,1,no
924,45.0,housemaid,married,primary,7353,no,536.0,2,no
925,33.0,blue-collar,married,primary,511,yes,304.0,2,no
926,38.0,admin.,married,primary,3913,yes,196.0,2,no
927,32.0,technician,divorced,secondary,1097,yes,298.0,2,no
928,54.0,retired,divorced,tertiary,6102,yes,86.0,6,no
929,51.0,admin.,divorced,secondary,340,yes,186.0,1,no
930,42.0,blue-collar,married,primary,-119,yes,167.0,3,no
931,41.0,admin.,married,secondary,2993,yes,24.0,12,no
932,39.0,management,divorced,tertiary,3575,no,74.0,3,no
933,38.0,blue-collar,married,secondary,361,yes,601.0,1,no
934,39.0,management,married,secondary,1072,yes,1168.0,2,no
935,46.0,blue-collar,married,primary,2904,no,277.0,2,no
936,50.0,entrepreneur,divorced,tertiary,1790,no,748.0,3,no
937,33.0,blue-collar,married,secondary,86,yes,364.0,1,no
938,37.0,technician,married,secondary,1633,yes,229.0,3,no
939,31.0,management,married,tertiary,8312,no,43.0,13,no
940,34.0,blue-collar,divorced,unknown,172,no,177.0,1,yes
941,34.0,management,married,tertiary,0,yes,262.0,1,yes
942,36.0,management,married,tertiary,222,yes,317.0,1,no
943,40.0,technician,married,secondary,109,no,402.0,22,no
944,40.0,blue-collar,married,secondary,1451,no,314.0,1,yes
945,41.0,technician,married,secondary,1066,no,109.0,3,yes
946,52.0,management,married,tertiary,3163,no,56.0,6,no
947,40.0,services,single,secondary,888,yes,169.0,2,no
948,48.0,blue-collar,single,unknown,428,yes,127.0,1,no
949,33.0,management,divorced,secondary,106,no,175.0,3,no
950,44.0,technician,divorced,secondary,0,no,56.0,2,no
951,55.0,management,married,tertiary,979,no,123.0,1,no
952,51.0,admin.,married,secondary,2662,no,148.0,2,no
953,34.0,management,single,tertiary,84,no,231.0,1,no
954,58.0,retired,divorced,unknown,5920,yes,255.0,1,no
955,39.0,management,single,tertiary,816,yes,37.0,3,no
956,27.0,unemployed,single,secondary,3276,no,106.0,1,no
957,55.0,management,divorced,unknown,2,yes,95.0,1,no
958,35.0,technician,single,secondary,-51,no,134.0,2,no
959,37.0,technician,single,tertiary,3315,yes,820.0,2,no
960,52.0,technician,married,secondary,196,yes,116.0,1,no
961,41.0,blue-collar,married,secondary,552,yes,463.0,1,no
962,52.0,admin.,married,secondary,2347,no,603.0,3,no
963,34.0,blue-collar,single,secondary,3723,yes,47.0,5,no
964,53.0,management,divorced,primary,255,no,126.0,1,no
965,33.0,management,single,tertiary,3143,no,421.0,2,yes
966,47.0,self-employed,married,secondary,0,no,174.0,8,no
967,35.0,blue-collar,married,secondary,6411,yes,144.0,1,no
968,33.0,management,single,tertiary,1909,no,191.0,2,no
969,55.0,blue-collar,married,primary,3873,no,222.0,1,no
970,58.0,self-employed,married,primary,1013,yes,206.0,1,yes
971,44.0,admin.,married,secondary,262,yes,74.0,1,no
972,25.0,services,single,secondary,3217,yes,24.0,1,no
973,37.0,technician,single,secondary,5436,yes,7.0,11,no
974,41.0,blue-collar,married,primary,2067,yes,493.0,7,no
975,34.0,blue-collar,single,secondary,215,no,350.0,3,yes
976,36.0,services,divorced,secondary,1594,no,250.0,3,no
977,44.0,self-employed,married,tertiary,134,no,86.0,4,no
978,34.0,entrepreneur,divorced,tertiary,262,no,371.0,1,no
979,56.0,blue-collar,divorced,primary,3021,no,419.0,2,no
980,43.0,management,divorced,tertiary,388,yes,2087.0,2,yes
981,28.0,blue-collar,single,secondary,3412,yes,22.0,4,no
982,54.0,blue-collar,married,secondary,1291,yes,266.0,1,no
983,37.0,technician,divorced,secondary,79,no,191.0,1,no
984,59.0,self-employed,married,tertiary,2013,no,222.0,4,yes
985,58.0,blue-collar,divorced,secondary,543,no,264.0,3,no
986,56.0,management,divorced,tertiary,1016,yes,184.0,5,no
987,32.0,blue-collar,single,secondary,604,no,95.0,3,no
988,42.0,management,single,tertiary,525,no,127.0,2,no
989,52.0,retired,divorced,primary,353,no,395.0,4,no
990,46.0,management,married,tertiary,964,yes,174.0,1,no
991,37.0,admin.,married,tertiary,3913,yes,124.0,1,yes
992,39.0,blue-collar,married,primary,879,yes,102.0,2,no
993,31.0,admin.,married,secondary,314,yes,279.0,1,no
994,59.0,housemaid,married,primary,0,no,76.0,11,no
995,38.0,blue-collar,married,secondary,1370,yes,472.0,2,no
996,58.0,management,married,secondary,37,no,84.0,11,no
997,34.0,management,single,tertiary,673,yes,271.0,1,no
998,40.0,services,married,secondary,-342,yes,754.0,1,no
999,20.0,student,single,secondary,291,no,172.0,5,no
1000,34.0,technician,married,secondary,209,yes,375.0,2,no
1001,31.0,technician,single,tertiary,438,yes,130.0,2,no
1002,39.0,admin.,single,secondary,1242,yes,303.0,3,no
1003,34.0,entrepreneur,married,tertiary,355,yes,261.0,1,no
1004,24.0,blue-collar,married,secondary,204,yes,229.0,3,no
1005,41.0,management,married,tertiary,10758,yes,288.0,1,no
1006,40.0,management,married,tertiary,5,yes,219.0,3,no
1007,45.0,technician,single,secondary,410,yes,891.0,4,yes
1008,36.0,management,married,tertiary,605,yes,204.0,1,no
1009,53.0,management,married,tertiary,4,no,19.0,6,no
1010,23.0,student,single,secondary,8494,no,158.0,2,no
1011,42.0,entrepreneur,married,primary,198,yes,314.0,1,no
1012,48.0,blue-collar,married,secondary,841,yes,215.0,1,no
1013,34.0,management,married,tertiary,8,no,169.0,4,no
1014,36.0,admin.,married,secondary,470,yes,101.0,4,no
1015,43.0,retired,married,secondary,520,yes,15.0,13,no
1016,36.0,blue-collar,married,secondary,439,yes,260.0,5,no
1017,49.0,blue-collar,married,secondary,-454,yes,558.0,1,yes
1018,55.0,retired,married,secondary,466,no,287.0,4,no
1019,53.0,retired,married,secondary,665,yes,371.0,2,yes
1020,42.0,technician,married,secondary,994,yes,149.0,1,yes
1021,45.0,admin.,married,secondary,5346,yes,187.0,1,yes
1022,31.0,blue-collar,married,secondary,1243,yes,32.0,1,no
1023,32.0,admin.,married,tertiary,0,yes,138.0,1,no
1024,36.0,blue-collar,married,secondary,2357,yes,228.0,2,no
1025,56.0,retired,married,secondary,1044,no,353.0,2,yes
1026,46.0,admin.,married,secondary,1069,yes,45.0,2,no
1027,41.0,housemaid,single,secondary,231,no,76.0,2,no
1028,31.0,admin.,married,secondary,0,yes,144.0,2,no
1029,32.0,technician,married,secondary,266,yes,168.0,2,no
1030,38.0,management,married,tertiary,-70,yes,140.0,1,no
1031,49.0,retired,single,primary,25824,no,94.0,1,no
1032,46.0,management,single,primary,538,no,118.0,3,no
1033,29.0,technician,single,secondary,534,yes,382.0,1,no
1034,36.0,admin.,married,unknown,2323,no,111.0,1,no
1035,38.0,admin.,married,secondary,1852,yes,298.0,2,no
1036,53.0,technician,married,secondary,2647,yes,121.0,1,no
1037,43.0,management,married,tertiary,2767,yes,317.0,7,no
1038,41.0,management,married,tertiary,176,yes,42.0,1,no
1039,42.0,management,single,secondary,9720,no,81.0,2,no
1040,55.0,blue-collar,divorced,secondary,1613,yes,296.0,1,yes
1041,39.0,admin.,divorced,secondary,2903,yes,259.0,2,no
1042,30.0,admin.,single,secondary,81,yes,121.0,6,no
1043,41.0,blue-collar,married,secondary,780,yes,432.0,3,no
1044,44.0,unemployed,married,tertiary,178,no,126.0,2,no
1045,58.0,management,married,tertiary,299,no,120.0,4,no
1046,35.0,retired,married,primary,285,yes,136.0,1,no
1047,27.0,blue-collar,married,secondary,872,yes,1130.0,3,no
1048,34.0,services,married,secondary,1337,no,330.0,2,yes
1049,25.0,services,married,secondary,72,yes,305.0,2,no
1050,36.0,blue-collar,married,secondary,0,no,332.0,3,no
1051,38.0,blue-collar,married,secondary,-388,yes,412.0,1,no
1052,30.0,admin.,married,secondary,11,yes,157.0,1,no
1053,47.0,blue-collar,divorced,secondary,-535,yes,71.0,2,no
1054,41.0,services,divorced,secondary,787,yes,297.0,2,no
1055,36.0,management,single,tertiary,3343,no,307.0,1,no
1056,63.0,entrepreneur,married,secondary,3904,no,250.0,2,yes
1057,23.0,management,single,tertiary,736,yes,119.0,1,no
1058,32.0,management,married,tertiary,1390,no,116.0,2,no
1059,57.0,retired,married,primary,808,no,274.0,1,no
1060,48.0,management,married,tertiary,1147,no,389.0,1,yes
1061,49.0,services,married,secondary,1122,no,143.0,1,no
1062,50.0,technician,married,secondary,-568,yes,860.0,2,no
1063,33.0,blue-collar,married,primary,1165,yes,420.0,2,no
1064,53.0,services,divorced,secondary,-905,yes,213.0,1,no
1065,30.0,unemployed,married,tertiary,0,yes,756.0,1,no
1066,38.0,technician,married,secondary,740,no,259.0,3,no
1067,44.0,management,married,secondary,8262,yes,201.0,16,no
1068,39.0,admin.,single,secondary,14,yes,19.0,9,no
1069,45.0,technician,single,unknown,7108,yes,53.0,1,no
1070,36.0,blue-collar,married,secondary,1049,yes,224.0,4,yes
1071,38.0,blue-collar,married,secondary,0,yes,57.0,5,no
1072,36.0,housemaid,married,secondary,419,yes,251.0,1,no
1073,30.0,management,single,tertiary,726,yes,39.0,1,no
1074,28.0,technician,divorced,tertiary,594,yes,54.0,3,no
1075,26.0,unemployed,married,tertiary,454,yes,28.0,18,no
1076,54.0,unknown,married,secondary,2206,no,104.0,1,yes
1077,38.0,admin.,married,tertiary,1988,no,164.0,2,yes
1078,32.0,technician,single,tertiary,0,no,268.0,2,no
1079,50.0,admin.,divorced,secondary,202,no,148.0,1,no
1080,43.0,blue-collar,married,secondary,667,yes,228.0,3,no
1081,48.0,admin.,married,secondary,112,no,139.0,5,no
1082,57.0,housemaid,married,primary,50,no,89.0,3,no
1083,64.0,housemaid,married,primary,768,no,250.0,2,no
1084,26.0,services,divorced,secondary,74,yes,106.0,6,no
1085,33.0,blue-collar,married,secondary,661,yes,968.0,1,yes
1086,50.0,self-employed,married,secondary,3025,no,168.0,3,no
1087,47.0,self-employed,married,tertiary,751,no,408.0,14,no
1088,39.0,management,single,tertiary,416,no,56.0,4,no
1089,52.0,services,married,primary,14,no,55.0,5,no
1090,31.0,blue-collar,single,primary,-502,yes,76.0,4,no
1091,50.0,blue-collar,married,primary,0,no,72.0,5,no
1092,47.0,technician,married,secondary,599,yes,99.0,3,no
1093,30.0,management,single,tertiary,-218,yes,13.0,15,no
1094,32.0,technician,single,tertiary,1012,no,178.0,1,no
1095,36.0,technician,married,secondary,300,no,287.0,1,no
1096,46.0,technician,married,tertiary,217,yes,141.0,1,no
1097,45.0,management,divorced,tertiary,2096,no,127.0,1,no
1098,37.0,technician,single,secondary,0,no,69.0,2,no
1099,58.0,housemaid,married,primary,5278,yes,763.0,4,no
1100,59.0,management,married,tertiary,1831,no,122.0,1,no
1101,28.0,management,married,tertiary,1480,yes,143.0,1,no
1102,48.0,management,married,tertiary,7289,yes,316.0,3,no
1103,55.0,blue-collar,married,unknown,1665,no,89.0,2,no
1104,37.0,blue-collar,single,primary,851,yes,151.0,1,no
1105,41.0,management,married,tertiary,2885,no,40.0,1,no
1106,35.0,blue-collar,married,secondary,137,no,5.0,1,no
1107,34.0,blue-collar,single,secondary,1239,yes,90.0,1,no
1108,43.0,management,single,tertiary,146,no,50.0,1,no
1109,59.0,technician,married,secondary,1,no,159.0,2,yes
1110,50.0,blue-collar,divorced,primary,-10,no,369.0,6,no
1111,37.0,technician,married,secondary,480,no,344.0,2,yes
1112,35.0,technician,married,secondary,2789,yes,256.0,2,no
1113,50.0,technician,single,secondary,3897,no,298.0,1,no
1114,36.0,technician,divorced,secondary,487,no,268.0,3,no
1115,41.0,admin.,married,secondary,5110,yes,231.0,1,no
1116,28.0,management,married,tertiary,318,yes,4.0,4,no
1117,42.0,technician,single,tertiary,-411,yes,78.0,5,no
1118,60.0,retired,married,secondary,4820,no,419.0,1,no
1119,28.0,management,single,tertiary,4937,yes,421.0,3,no
1120,48.0,entrepreneur,married,secondary,725,no,105.0,1,no
1121,51.0,entrepreneur,married,tertiary,5403,no,42.0,1,no
1122,32.0,technician,married,tertiary,4089,no,114.0,7,no
1123,35.0,technician,married,tertiary,188,no,286.0,2,no
1124,37.0,technician,married,unknown,189,no,238.0,1,yes
1125,38.0,blue-collar,divorced,secondary,2998,yes,91.0,1,no
1126,77.0,retired,married,secondary,610,no,766.0,3,no
1127,32.0,management,single,unknown,787,no,92.0,1,no
1128,43.0,technician,divorced,secondary,167,no,211.0,3,no
1129,36.0,management,single,tertiary,243,yes,160.0,2,no
1130,29.0,management,married,tertiary,877,no,166.0,3,no
1131,32.0,admin.,single,secondary,2817,yes,195.0,1,no
1132,41.0,management,divorced,tertiary,4567,yes,106.0,1,no
1133,26.0,services,single,secondary,127,yes,85.0,3,no
1134,34.0,blue-collar,married,primary,176,no,78.0,1,no
1135,57.0,retired,married,tertiary,0,yes,648.0,1,yes
1136,36.0,services,single,secondary,1482,yes,177.0,2,no
1137,42.0,blue-collar,married,secondary,3052,yes,32.0,1,no
1138,35.0,technician,divorced,secondary,56,no,24.0,12,no
1139,52.0,entrepreneur,divorced,primary,278,yes,688.0,2,no
1140,36.0,management,single,tertiary,3875,yes,21.0,5,no
1141,46.0,technician,married,secondary,-337,yes,112.0,1,no
1142,60.0,management,divorced,tertiary,366,no,593.0,1,yes
1143,57.0,housemaid,married,primary,501,yes,59.0,2,no
1144,48.0,management,married,tertiary,998,yes,121.0,3,no
1145,59.0,self-employed,married,primary,0,yes,97.0,2,no
1146,39.0,management,married,tertiary,246,no,86.0,2,no
1147,44.0,blue-collar,married,secondary,-182,yes,10.0,10,no
1148,27.0,management,single,tertiary,446,no,205.0,3,no
1149,59.0,retired,married,secondary,1173,no,77.0,2,no
1150,36.0,technician,divorced,secondary,5957,yes,138.0,2,no
1151,44.0,admin.,married,secondary,205,no,289.0,1,yes
1152,50.0,admin.,married,secondary,0,no,86.0,4,no
1153,41.0,management,divorced,tertiary,369,yes,9.0,3,no
1154,47.0,admin.,married,secondary,1934,no,225.0,1,no
1155,32.0,technician,single,tertiary,259,no,407.0,4,no
1156,38.0,blue-collar,married,secondary,284,yes,1030.0,6,no
1157,55.0,blue-collar,married,unknown,23,no,123.0,2,no
1158,38.0,management,single,tertiary,1373,no,119.0,4,no
1159,31.0,management,single,tertiary,62,yes,175.0,1,no
1160,38.0,blue-collar,divorced,secondary,157,no,299.0,5,no
1161,29.0,unemployed,single,tertiary,991,no,563.0,1,no
1162,55.0,services,married,secondary,186,yes,241.0,1,no
1163,35.0,unemployed,married,secondary,977,yes,52.0,4,no
1164,40.0,self-employed,single,tertiary,2893,no,76.0,3,no
1165,34.0,blue-collar,married,secondary,1897,yes,441.0,1,no
1166,32.0,technician,single,tertiary,5514,no,319.0,1,yes
1167,33.0,blue-collar,married,secondary,889,yes,13.0,1,no
1168,33.0,management,married,tertiary,273,yes,803.0,1,yes
1169,37.0,admin.,married,secondary,1193,no,396.0,2,no
1170,58.0,management,married,tertiary,2729,no,188.0,1,no
1171,36.0,admin.,single,secondary,0,no,637.0,1,no
1172,42.0,blue-collar,married,secondary,230,yes,175.0,7,no
1173,34.0,technician,single,secondary,2729,yes,945.0,1,no
1174,35.0,management,married,tertiary,317,yes,162.0,3,no
1175,60.0,housemaid,married,primary,517,no,1178.0,3,no
1176,50.0,management,married,tertiary,-470,yes,506.0,2,no
1177,28.0,self-employed,single,tertiary,4579,no,409.0,2,yes
1178,27.0,blue-collar,divorced,secondary,1,yes,116.0,3,no
1179,37.0,management,married,tertiary,5106,no,244.0,1,yes
1180,31.0,technician,married,tertiary,636,yes,352.0,4,yes
1181,34.0,services,married,secondary,1076,no,152.0,1,yes
1182,38.0,management,married,tertiary,126,yes,164.0,2,no
1183,32.0,self-employed,married,secondary,-33,yes,234.0,3,no
1184,37.0,technician,married,secondary,430,no,154.0,4,no
1185,33.0,admin.,married,secondary,-6,yes,566.0,2,no
1186,71.0,technician,married,tertiary,383,no,327.0,2,no
1187,27.0,technician,married,secondary,130,yes,265.0,3,no
1188,38.0,blue-collar,married,primary,2569,no,172.0,1,no
1189,34.0,technician,single,secondary,201,no,257.0,2,no
1190,54.0,retired,divorced,tertiary,0,no,618.0,1,yes
1191,30.0,blue-collar,married,secondary,6,yes,241.0,3,no
1192,35.0,entrepreneur,single,secondary,475,no,936.0,4,no
1193,33.0,blue-collar,single,secondary,706,yes,329.0,1,no
1194,36.0,management,married,secondary,1825,yes,24.0,1,no
1195,59.0,self-employed,married,tertiary,185,no,177.0,5,no
1196,72.0,blue-collar,married,primary,4415,no,120.0,1,no
1197,64.0,management,married,tertiary,679,no,135.0,3,no
1198,53.0,technician,divorced,secondary,320,no,175.0,1,no
1199,35.0,management,single,tertiary,2988,yes,179.0,1,no
1200,58.0,self-employed,married,secondary,1407,yes,58.0,1,no
1201,40.0,technician,married,secondary,1270,no,342.0,2,no
1202,41.0,services,divorced,secondary,654,yes,139.0,2,no
1203,48.0,retired,married,primary,5173,yes,88.0,8,no
1204,44.0,entrepreneur,married,tertiary,3463,yes,210.0,3,no
1205,39.0,blue-collar,married,unknown,0,no,731.0,1,no
1206,61.0,management,married,tertiary,6016,no,670.0,3,yes
1207,36.0,entrepreneur,married,primary,177,yes,63.0,5,no
1208,28.0,management,married,tertiary,3694,no,70.0,2,no
1209,58.0,retired,single,secondary,1640,no,72.0,6,no
1210,60.0,admin.,divorced,secondary,174,yes,241.0,1,no
1211,66.0,admin.,single,secondary,10177,no,272.0,4,no
1212,36.0,management,single,tertiary,490,no,207.0,8,yes
1213,49.0,self-employed,married,secondary,2576,yes,64.0,6,no
1214,40.0,services,married,secondary,0,no,543.0,2,no
1215,23.0,technician,single,secondary,598,no,166.0,1,no
1216,29.0,management,single,tertiary,15459,no,245.0,3,no
1217,44.0,blue-collar,married,primary,271,yes,94.0,1,no
1218,54.0,unknown,married,unknown,2508,no,34.0,8,no
1219,47.0,blue-collar,married,primary,320,no,203.0,2,no
1220,33.0,admin.,married,tertiary,640,no,318.0,1,no
1221,30.0,self-employed,married,secondary,1772,yes,158.0,4,no
1222,27.0,admin.,single,secondary,15,no,177.0,1,no
1223,49.0,management,divorced,tertiary,2370,yes,56.0,1,no
1224,27.0,services,single,secondary,201,yes,172.0,2,no
1225,51.0,blue-collar,married,secondary,160,yes,136.0,1,no
1226,32.0,admin.,divorced,secondary,5,yes,82.0,3,no
1227,30.0,blue-collar,single,secondary,75,yes,123.0,1,no
1228,33.0,admin.,married,secondary,4902,yes,110.0,1,no
1229,27.0,blue-collar,single,primary,-79,yes,385.0,5,no
1230,75.0,retired,divorced,secondary,1341,no,415.0,7,yes
1231,37.0,services,divorced,secondary,490,yes,73.0,1,no
1232,36.0,technician,single,secondary,1521,yes,243.0,2,no
1233,37.0,blue-collar,married,secondary,131,yes,137.0,2,no
1234,35.0,management,married,tertiary,8,yes,55.0,4,no
1235,32.0,services,married,secondary,-632,yes,18.0,5,no
1236,32.0,admin.,single,secondary,116,no,255.0,2,no
1237,35.0,admin.,married,primary,189,yes,95.0,1,no
1238,31.0,blue-collar,married,primary,2,yes,112.0,1,no
1239,28.0,blue-collar,single,secondary,4229,yes,205.0,2,no
1240,27.0,services,married,secondary,54,yes,97.0,1,no
1241,22.0,student,single,unknown,549,no,154.0,1,no
1242,35.0,blue-collar,married,primary,298,yes,135.0,2,no
1243,69.0,retired,married,primary,579,no,230.0,1,no
1244,37.0,entrepreneur,single,tertiary,1467,yes,349.0,1,no
1245,45.0,admin.,single,secondary,0,yes,38.0,1,no
1246,47.0,management,married,tertiary,109,yes,268.0,1,no
1247,52.0,management,married,tertiary,-11,yes,94.0,4,no
1248,33.0,services,married,secondary,90,yes,263.0,2,no
1249,60.0,blue-collar,married,primary,493,no,671.0,4,yes
1250,33.0,management,divorced,secondary,1897,yes,197.0,1,no
1251,44.0,admin.,married,secondary,2403,yes,180.0,2,no
1252,38.0,entrepreneur,married,secondary,868,no,452.0,2,no
1253,54.0,entrepreneur,married,secondary,653,yes,352.0,1,no
1254,32.0,unemployed,divorced,primary,0,no,175.0,4,no
1255,33.0,technician,married,secondary,0,yes,163.0,2,no
1256,55.0,services,divorced,secondary,218,yes,200.0,2,no
1257,51.0,blue-collar,married,primary,5050,no,75.0,7,no
1258,48.0,blue-collar,married,secondary,741,yes,227.0,1,no
1259,37.0,services,single,secondary,1050,yes,586.0,3,no
1260,33.0,services,single,secondary,-56,no,119.0,5,no
1261,30.0,blue-collar,married,primary,1,yes,80.0,2,no
1262,43.0,blue-collar,married,primary,-98,yes,112.0,2,no
1263,49.0,technician,married,secondary,4667,yes,130.0,2,no
1264,54.0,unemployed,married,primary,541,yes,237.0,3,no
1265,31.0,unemployed,married,tertiary,7744,no,377.0,8,no
1266,54.0,unknown,married,unknown,895,no,335.0,1,yes
1267,36.0,unemployed,married,secondary,-129,yes,121.0,3,no
1268,30.0,admin.,married,secondary,0,no,127.0,5,no
1269,27.0,technician,single,secondary,158,no,650.0,2,yes
1270,30.0,admin.,married,secondary,122,yes,107.0,1,no
1271,30.0,blue-collar,married,secondary,673,yes,610.0,2,no
1272,35.0,technician,divorced,secondary,0,no,124.0,4,no
1273,33.0,services,divorced,secondary,411,yes,216.0,1,no
1274,43.0,blue-collar,divorced,primary,-97,yes,747.0,4,no
1275,41.0,blue-collar,married,secondary,-217,yes,313.0,1,no
1276,41.0,management,divorced,tertiary,5037,no,252.0,9,yes
1277,46.0,admin.,divorced,secondary,2232,no,121.0,1,yes
1278,54.0,blue-collar,married,secondary,-932,yes,799.0,1,no
1279,32.0,management,married,tertiary,913,yes,883.0,1,no
1280,30.0,technician,single,tertiary,236,yes,197.0,1,no
1281,40.0,entrepreneur,married,primary,0,yes,271.0,2,no
1282,30.0,blue-collar,married,primary,2581,no,221.0,2,no
1283,27.0,admin.,married,secondary,639,no,243.0,3,no
1284,41.0,blue-collar,married,primary,849,yes,72.0,1,no
1285,54.0,services,married,secondary,386,yes,155.0,2,no
1286,32.0,management,single,tertiary,1218,yes,70.0,2,no
1287,31.0,management,married,tertiary,2603,yes,280.0,4,yes
1288,42.0,blue-collar,married,secondary,-921,yes,115.0,2,no
1289,48.0,admin.,married,primary,607,no,29.0,2,no
1290,34.0,blue-collar,married,primary,79,yes,406.0,2,no
1291,55.0,technician,divorced,secondary,61,yes,113.0,3,no
1292,49.0,technician,married,secondary,1091,no,47.0,2,no
1293,46.0,management,divorced,tertiary,743,no,36.0,2,no
1294,47.0,entrepreneur,married,unknown,209,yes,135.0,2,no
1295,24.0,management,single,tertiary,172,no,67.0,2,no
1296,58.0,entrepreneur,married,secondary,2,no,684.0,1,no
1297,32.0,management,single,tertiary,41,no,686.0,5,yes
1298,25.0,student,single,secondary,1116,yes,170.0,3,no
1299,49.0,blue-collar,married,secondary,-55,no,150.0,3,no
1300,59.0,retired,divorced,secondary,5845,no,1060.0,2,yes
1301,30.0,management,single,tertiary,329,yes,122.0,16,no
1302,46.0,blue-collar,married,secondary,494,yes,724.0,1,no
1303,42.0,management,married,unknown,1519,no,230.0,1,yes
1304,37.0,entrepreneur,married,tertiary,2685,no,187.0,2,no
1305,44.0,blue-collar,married,primary,-14,yes,179.0,4,no
1306,49.0,services,married,secondary,5673,no,357.0,3,no
1307,41.0,blue-collar,married,secondary,1459,no,82.0,1,no
1308,48.0,technician,married,tertiary,0,no,176.0,15,no
1309,31.0,management,married,secondary,625,yes,424.0,1,no
1310,37.0,student,married,unknown,0,no,115.0,1,no
1311,51.0,services,married,secondary,867,yes,177.0,2,no
1312,80.0,retired,married,secondary,8304,no,712.0,1,yes
1313,32.0,management,single,tertiary,151,yes,118.0,1,no
1314,48.0,services,married,primary,-583,yes,25.0,7,no
1315,49.0,blue-collar,married,tertiary,1784,no,753.0,1,no
1316,30.0,management,married,tertiary,3134,yes,124.0,1,no
1317,27.0,self-employed,single,secondary,49,yes,208.0,2,no
1318,34.0,technician,married,secondary,-346,no,136.0,4,no
1319,49.0,management,married,secondary,1623,yes,1081.0,2,yes
1320,48.0,management,married,tertiary,60,no,376.0,2,no
1321,40.0,services,married,secondary,17,no,78.0,1,no
1322,38.0,blue-collar,married,secondary,2008,yes,354.0,1,no
1323,46.0,blue-collar,married,primary,91,yes,29.0,1,no
1324,41.0,entrepreneur,married,tertiary,171,yes,209.0,1,no
1325,28.0,management,single,tertiary,1027,yes,433.0,1,no
1326,51.0,services,married,unknown,5801,yes,147.0,2,no
1327,33.0,blue-collar,divorced,primary,142,yes,41.0,2,no
1328,26.0,management,single,tertiary,205,no,111.0,1,no
1329,34.0,admin.,single,secondary,852,no,108.0,2,no
1330,27.0,blue-collar,married,secondary,-584,yes,411.0,2,no
1331,42.0,self-employed,married,secondary,97,no,108.0,2,no
1332,45.0,admin.,married,secondary,204,yes,224.0,2,yes
1333,31.0,technician,single,secondary,628,yes,1083.0,2,no
1334,32.0,management,single,tertiary,311,no,757.0,2,yes
1335,39.0,blue-collar,married,primary,1564,no,57.0,1,no
1336,26.0,blue-collar,single,secondary,856,yes,95.0,5,no
1337,40.0,management,single,tertiary,1509,no,144.0,2,no
1338,52.0,services,married,secondary,-888,no,135.0,1,no
1339,40.0,technician,single,tertiary,226,no,176.0,2,no
1340,48.0,technician,married,secondary,127,no,524.0,5,no
1341,31.0,services,married,secondary,413,yes,65.0,1,no
1342,27.0,admin.,married,secondary,710,yes,653.0,1,yes
1343,47.0,technician,married,secondary,1233,yes,91.0,1,yes
1344,28.0,management,single,secondary,171,no,93.0,1,yes
1345,40.0,management,divorced,tertiary,69,yes,503.0,2,no
1346,34.0,admin.,married,secondary,1499,yes,186.0,1,no
1347,29.0,self-employed,married,tertiary,751,yes,121.0,2,no
1348,36.0,management,married,tertiary,61,no,452.0,2,no
1349,83.0,retired,married,primary,425,no,883.0,1,yes
1350,55.0,services,divorced,primary,2923,yes,104.0,2,no
1351,43.0,management,divorced,tertiary,99,no,24.0,3,no
1352,23.0,student,single,secondary,1021,no,79.0,9,no
1353,44.0,technician,married,tertiary,1146,no,178.0,2,no
1354,58.0,blue-collar,married,primary,781,yes,74.0,2,no
1355,29.0,admin.,single,secondary,1448,no,217.0,1,no
1356,30.0,management,single,tertiary,604,no,475.0,1,no
