appliance_type,brand,capacity_l,star_rating,features,price
Air Cooler,Voltas,,2.0,Window,11691
Air Cooler,Voltas,,3.0,Window,7686
TV,Samsung,,3.0,Android,26313
Fridge,Whirlpool,463.0,3.0,Side-by-Side,17628
Washing Machine,Whirlpool,6.0,3.0,Front Load,23121
Fridge,Samsung,359.0,4.0,Single Door,15210
Air Cooler,Kenstar,,3.0,Portable,6242
Air Cooler,Kenstar,,,Tower,10102
Fridge,LG,111.0,3.0,Side-by-Side,32713
TV,Sony,,4.0,HD Ready,23383
Air Conditioner,Carrier,,,Inverter,36140
TV,TCL,,2.0,Android,35406
Washing Machine,LG,5.0,,Front Load,12495
Air Conditioner,Carrier,,4.0,Inverter,32135
Air Cooler,Kenstar,,,Tower,9574
Washing Machine,Samsung,7.0,3.0,Semi-Automatic,18004
Fridge,LG,279.0,,Double Door,31159
Air Conditioner,Daikin,,,Inverter,44981
Air Cooler,Bajaj,,4.0,Window,9173
TV,LG,,4.0,4K,31504
Air Conditioner,Blue Star,,5.0,Split,35806
Air Cooler,Voltas,,,Window,5829
Washing Machine,IFB,6.0,,Semi-Automatic,16486
Air Conditioner,Carrier,,2.0,Window,54430
TV,Samsung,,5.0,Smart,17093
Air Conditioner,Voltas,,3.0,Split,49749
Air Cooler,Bajaj,,2.0,Window,10741
Air Cooler,Symphony,,2.0,Portable,6053
Air Cooler,Symphony,,2.0,Tower,6031
Air Cooler,Kenstar,,4.0,Portable,4589
Washing Machine,IFB,9.0,4.0,Front Load,24911
TV,Samsung,,,4K,31632
Air Conditioner,Carrier,,2.0,Split,45990
Fridge,Whirlpool,340.0,,Side-by-Side,29322
TV,Sony,,,Android,32436
Washing Machine,IFB,10.0,3.0,Top Load,11413
Air Conditioner,LG,,3.0,Window,26966
Fridge,Voltas,478.0,5.0,Single Door,19022
Washing Machine,Godrej,5.0,5.0,Top Load,15848
Air Cooler,Bajaj,,4.0,Tower,4984
Fridge,LG,304.0,4.0,Single Door,30160
Air Cooler,Bajaj,,2.0,Portable,11197
Air Conditioner,LG,,5.0,Split,41809
Fridge,Whirlpool,300.0,5.0,Side-by-Side,29491
Washing Machine,Whirlpool,10.0,,Semi-Automatic,14377
Fridge,Godrej,471.0,2.0,Double Door,24820
Fridge,LG,406.0,2.0,Side-by-Side,35447
Air Conditioner,Daikin,,2.0,Split,44264
Air Cooler,Blue Star,,2.0,Portable,7612
TV,Sony,,4.0,Android,39175
Washing Machine,IFB,9.0,2.0,Front Load,13623
Fridge,LG,497.0,3.0,Side-by-Side,31431
Fridge,Godrej,458.0,2.0,Double Door,25765
Air Cooler,Bajaj,,,Window,4350
TV,Mi,,,Smart,20925
Washing Machine,Samsung,8.0,,Semi-Automatic,18841
TV,Mi,,4.0,Smart,27657
Air Cooler,Voltas,,3.0,Window,1835
TV,Samsung,,,4K,50318
Air Conditioner,Daikin,,,Split,26995
Washing Machine,LG,7.0,,Top Load,25415
Air Cooler,Kenstar,,2.0,Window,8080
Air Conditioner,Carrier,,3.0,Split,27637
TV,LG,,2.0,4K,42294
Fridge,Voltas,108.0,2.0,Double Door,32749
Fridge,Voltas,455.0,4.0,Double Door,31217
TV,TCL,,4.0,4K,17971
Fridge,Whirlpool,102.0,4.0,Double Door,35275
Fridge,Voltas,359.0,5.0,Double Door,20978
Fridge,Samsung,354.0,4.0,Side-by-Side,19944
Washing Machine,Godrej,9.0,3.0,Front Load,28636
Air Conditioner,Daikin,,,Split,54578
Air Conditioner,Voltas,,2.0,Window,30397
Air Cooler,Symphony,,2.0,Portable,2483
Washing Machine,IFB,8.0,2.0,Front Load,18464
TV,LG,,2.0,HD Ready,17364
Air Cooler,Bajaj,,2.0,Portable,4138
Air Cooler,Kenstar,,2.0,Portable,9029
TV,Mi,,5.0,Android,42306
Air Conditioner,LG,,5.0,Window,56444
Fridge,Voltas,211.0,4.0,Single Door,17413
Air Cooler,Blue Star,,4.0,Tower,10876
TV,Mi,,,Smart,49538
TV,TCL,,,Android,47187
Air Cooler,Blue Star,,5.0,Portable,2663
TV,LG,,4.0,Smart,36063
Air Cooler,Blue Star,,,Tower,12612
Fridge,Godrej,447.0,5.0,Side-by-Side,31231
Air Cooler,Voltas,,4.0,Tower,4157
Washing Machine,Godrej,9.0,2.0,Top Load,12684
TV,Mi,,,4K,17084
TV,Mi,,3.0,HD Ready,49619
TV,TCL,,3.0,Android,47887
Fridge,Samsung,333.0,3.0,Double Door,19197
Washing Machine,Samsung,5.0,2.0,Top Load,21889
Washing Machine,Samsung,10.0,,Semi-Automatic,23478
Washing Machine,IFB,5.0,,Front Load,27003
Fridge,Voltas,431.0,3.0,Side-by-Side,39391
Air Conditioner,Blue Star,,,Window,26270
Air Conditioner,Daikin,,3.0,Window,40758
TV,LG,,,Smart,19522
Air Cooler,Blue Star,,5.0,Window,4937
Air Cooler,Blue Star,,3.0,Tower,5416
Air Cooler,Bajaj,,3.0,Portable,3874
Washing Machine,Whirlpool,7.0,5.0,Front Load,31032
TV,Mi,,5.0,Android,25382
Air Cooler,Blue Star,,4.0,Window,10014
Fridge,LG,253.0,3.0,Single Door,35697
Washing Machine,Godrej,5.0,2.0,Semi-Automatic,21463
Air Cooler,Kenstar,,3.0,Portable,12859
TV,LG,,2.0,Smart,22095
TV,Sony,,3.0,4K,48501
Washing Machine,LG,9.0,2.0,Semi-Automatic,20753
Air Conditioner,Carrier,,2.0,Window,56465
TV,LG,,2.0,Smart,28266
Air Conditioner,LG,,4.0,Window,47096
TV,LG,,5.0,4K,15411
Washing Machine,Samsung,6.0,2.0,Front Load,12652
Air Cooler,Bajaj,,2.0,Tower,2458
TV,Samsung,,3.0,Smart,21868
TV,Samsung,,2.0,Smart,39279
Air Conditioner,Daikin,,5.0,Inverter,40152
Washing Machine,Whirlpool,5.0,5.0,Top Load,14734
Air Conditioner,Daikin,,,Window,57633
Air Cooler,Voltas,,,Portable,12009
TV,TCL,,,Smart,40676
TV,Mi,,5.0,Android,29218
TV,LG,,4.0,Smart,47840
Air Cooler,Bajaj,,5.0,Window,8346
Washing Machine,IFB,6.0,,Front Load,27812
Air Cooler,Kenstar,,4.0,Portable,5005
Air Cooler,Symphony,,2.0,Window,13142
Washing Machine,Godrej,6.0,3.0,Semi-Automatic,33523
Air Cooler,Bajaj,,3.0,Tower,13202
Air Conditioner,Carrier,,,Split,49475
Air Cooler,Voltas,,2.0,Tower,9335
Air Cooler,Bajaj,,5.0,Tower,10872
Fridge,Godrej,402.0,4.0,Double Door,25630
Fridge,Voltas,287.0,2.0,Single Door,24829
Air Cooler,Blue Star,,4.0,Portable,7710
TV,TCL,,,Smart,24279
Air Cooler,Bajaj,,5.0,Window,2911
Air Conditioner,Blue Star,,5.0,Window,57612
TV,LG,,3.0,HD Ready,19113
TV,Samsung,,5.0,HD Ready,20145
Fridge,Voltas,318.0,4.0,Side-by-Side,23165
TV,Mi,,2.0,HD Ready,50383
Fridge,Voltas,355.0,5.0,Single Door,23291
Air Conditioner,Blue Star,,,Inverter,35918
TV,Mi,,3.0,4K,42675
Washing Machine,Whirlpool,6.0,5.0,Semi-Automatic,17927
Washing Machine,Whirlpool,9.0,4.0,Front Load,24945
Washing Machine,LG,10.0,3.0,Front Load,15992
Fridge,Whirlpool,132.0,3.0,Side-by-Side,27302
Fridge,Voltas,161.0,5.0,Side-by-Side,33726
Fridge,Samsung,495.0,,Side-by-Side,24161
Washing Machine,LG,7.0,2.0,Top Load,25566
TV,Samsung,,5.0,HD Ready,30630
Air Cooler,Blue Star,,,Portable,7189
Air Cooler,Blue Star,,3.0,Window,11090
Air Cooler,Blue Star,,,Portable,11792
Air Cooler,Voltas,,,Portable,11296
Washing Machine,Whirlpool,7.0,,Semi-Automatic,32851
Fridge,Samsung,428.0,4.0,Side-by-Side,18744
Air Conditioner,LG,,2.0,Split,45781
Air Cooler,Symphony,,2.0,Portable,8536
Air Cooler,Bajaj,,2.0,Window,3269
TV,LG,,4.0,Smart,23477
Air Conditioner,LG,,5.0,Split,40633
Washing Machine,Samsung,10.0,3.0,Front Load,24976
Washing Machine,Whirlpool,8.0,2.0,Semi-Automatic,27384
TV,LG,,2.0,4K,44946
Washing Machine,Whirlpool,10.0,4.0,Semi-Automatic,22956
Air Conditioner,LG,,3.0,Split,41689
Air Conditioner,Blue Star,,4.0,Window,40753
Air Conditioner,Blue Star,,4.0,Window,33358
Fridge,Whirlpool,355.0,2.0,Single Door,24717
TV,TCL,,4.0,HD Ready,23686
Washing Machine,LG,5.0,2.0,Top Load,19002
Air Cooler,Voltas,,3.0,Portable,4856
Fridge,Samsung,186.0,2.0,Double Door,39727
Air Conditioner,Daikin,,,Window,25865
Fridge,Godrej,154.0,5.0,Double Door,27003
Air Cooler,Bajaj,,3.0,Window,7188
Fridge,Whirlpool,480.0,,Double Door,16362
Washing Machine,Samsung,5.0,,Front Load,17989
Washing Machine,LG,8.0,4.0,Front Load,23569
TV,TCL,,4.0,Android,33693
Air Cooler,Blue Star,,2.0,Window,3061
Air Cooler,Symphony,,2.0,Window,4292
Air Cooler,Voltas,,3.0,Portable,6824
TV,TCL,,5.0,Smart,21744
Fridge,Godrej,229.0,5.0,Side-by-Side,25113
Air Cooler,Symphony,,4.0,Tower,9245
Air Cooler,Kenstar,,3.0,Portable,7024
Air Conditioner,LG,,4.0,Split,53106
Air Conditioner,Blue Star,,5.0,Window,29255
Washing Machine,LG,5.0,,Top Load,18823
Washing Machine,Samsung,6.0,5.0,Front Load,21588
Fridge,LG,478.0,2.0,Single Door,39543
Air Cooler,Kenstar,,2.0,Tower,6889
Air Cooler,Bajaj,,5.0,Portable,11384
Air Conditioner,Blue Star,,,Split,44210
Air Cooler,Bajaj,,4.0,Tower,2519
Washing Machine,Godrej,6.0,4.0,Front Load,20816
TV,Mi,,3.0,4K,29311
Air Cooler,Symphony,,2.0,Tower,9058
Washing Machine,Samsung,5.0,,Semi-Automatic,21937
Air Conditioner,LG,,3.0,Split,39678
TV,Sony,,,HD Ready,50571
Air Cooler,Bajaj,,,Tower,5307
Fridge,Samsung,472.0,2.0,Double Door,23203
TV,Sony,,,Android,14829
TV,TCL,,,Android,39720
Air Conditioner,Blue Star,,2.0,Split,50574
Fridge,Godrej,467.0,,Single Door,31597
Washing Machine,Godrej,5.0,4.0,Top Load,35003
TV,Mi,,5.0,4K,39241
Air Conditioner,Carrier,,4.0,Split,52685
Washing Machine,Whirlpool,9.0,,Top Load,23654
Fridge,Voltas,366.0,3.0,Side-by-Side,27810
Air Conditioner,Carrier,,2.0,Window,30375
TV,Sony,,,HD Ready,23519
Fridge,Godrej,481.0,2.0,Double Door,33282
TV,TCL,,4.0,Android,48706
Fridge,Samsung,310.0,4.0,Side-by-Side,17635
Washing Machine,Godrej,10.0,3.0,Top Load,25590
Air Cooler,Bajaj,,4.0,Portable,5994
Air Cooler,Symphony,,5.0,Window,11812
Washing Machine,IFB,9.0,,Front Load,13779
Air Conditioner,Daikin,,3.0,Split,28073
Washing Machine,Samsung,5.0,4.0,Semi-Automatic,19297
Fridge,Voltas,122.0,,Double Door,29883
Air Cooler,Bajaj,,5.0,Window,11283
Air Cooler,Symphony,,3.0,Window,11031
Air Cooler,Blue Star,,,Window,6055
TV,TCL,,5.0,Smart,19539
Air Cooler,Kenstar,,,Tower,5364
Air Conditioner,Carrier,,4.0,Window,36528
Fridge,Voltas,231.0,4.0,Double Door,17150
Washing Machine,Samsung,6.0,,Front Load,24088
Fridge,LG,150.0,4.0,Double Door,25025
Fridge,LG,485.0,2.0,Single Door,35643
Air Conditioner,Blue Star,,3.0,Split,54848
Air Cooler,Symphony,,3.0,Tower,7816
Fridge,Voltas,291.0,2.0,Single Door,34646
Air Conditioner,Blue Star,,,Split,30766
Air Cooler,Blue Star,,3.0,Window,9547
Washing Machine,IFB,7.0,,Semi-Automatic,26550
Air Cooler,Symphony,,5.0,Window,9424
TV,Sony,,4.0,Android,21780
Fridge,Samsung,456.0,5.0,Double Door,39269
Fridge,Voltas,444.0,4.0,Single Door,17769
Fridge,LG,198.0,3.0,Double Door,30354
TV,LG,,5.0,Smart,28502
TV,Mi,,,Android,22293
Washing Machine,IFB,10.0,5.0,Top Load,32813
Fridge,Samsung,216.0,5.0,Double Door,32656
TV,TCL,,,4K,19856
Air Cooler,Blue Star,,5.0,Tower,1904
TV,Mi,,3.0,4K,37955
Washing Machine,Godrej,6.0,2.0,Top Load,20902
Air Cooler,Bajaj,,5.0,Tower,12686
TV,Samsung,,5.0,HD Ready,44110
Fridge,LG,293.0,,Single Door,27029
Air Cooler,Voltas,,5.0,Portable,5336
Air Cooler,Bajaj,,5.0,Tower,10329
Air Cooler,Kenstar,,,Window,9783
Air Conditioner,Daikin,,,Split,57400
TV,Mi,,5.0,4K,22544
TV,TCL,,5.0,4K,23807
Air Conditioner,Voltas,,3.0,Window,40634
Air Conditioner,LG,,3.0,Window,46158
Air Cooler,Bajaj,,3.0,Window,6813
Air Cooler,Voltas,,2.0,Portable,9622
Air Cooler,Blue Star,,4.0,Window,7246
TV,Samsung,,2.0,Smart,37402
Washing Machine,Whirlpool,7.0,2.0,Top Load,16512
Fridge,Samsung,110.0,,Double Door,39032
Washing Machine,Whirlpool,7.0,2.0,Front Load,35253
Fridge,LG,197.0,2.0,Single Door,21736
Air Cooler,Symphony,,5.0,Tower,6586
TV,LG,,2.0,4K,18840
Air Conditioner,Voltas,,5.0,Window,57604
Air Cooler,Bajaj,,5.0,Portable,8059
Washing Machine,Godrej,6.0,4.0,Top Load,24969
Air Conditioner,LG,,,Split,27601
Air Conditioner,Carrier,,4.0,Window,56904
TV,Mi,,2.0,Smart,19179
Air Conditioner,Carrier,,,Inverter,46764
Air Conditioner,Daikin,,2.0,Window,35537
Air Conditioner,Voltas,,3.0,Split,56612
Air Conditioner,Daikin,,2.0,Window,59209
Air Conditioner,Blue Star,,4.0,Inverter,51231
Air Cooler,Bajaj,,,Window,8053
TV,Sony,,4.0,Android,34961
Fridge,Samsung,390.0,3.0,Single Door,37523
Air Cooler,Voltas,,4.0,Window,8778
Washing Machine,LG,6.0,5.0,Semi-Automatic,33392
Fridge,Godrej,219.0,2.0,Double Door,22773
TV,TCL,,2.0,Smart,25488
Air Cooler,Bajaj,,,Window,9425
Air Cooler,Symphony,,5.0,Window,9345
Fridge,Samsung,304.0,,Double Door,34703
Air Cooler,Kenstar,,,Tower,8383
Washing Machine,Godrej,9.0,2.0,Top Load,27019
Air Conditioner,LG,,,Window,40960
Air Cooler,Bajaj,,,Window,8188
Washing Machine,Whirlpool,5.0,5.0,Top Load,12282
Air Cooler,Symphony,,,Portable,8344
Air Cooler,Voltas,,5.0,Tower,12160
Washing Machine,Samsung,5.0,5.0,Top Load,20327
Fridge,LG,178.0,3.0,Side-by-Side,31095
Air Conditioner,Daikin,,,Window,28885
Fridge,LG,227.0,2.0,Double Door,27003
Fridge,LG,448.0,2.0,Double Door,37885
Washing Machine,LG,5.0,5.0,Front Load,24418
Air Cooler,Voltas,,2.0,Tower,3923
TV,Samsung,,2.0,4K,31523
Washing Machine,Godrej,8.0,5.0,Front Load,30026
TV,Mi,,3.0,Android,35210
Fridge,Voltas,295.0,4.0,Side-by-Side,30697
Fridge,Voltas,221.0,3.0,Single Door,37742
TV,Mi,,2.0,HD Ready,18511
TV,LG,,3.0,HD Ready,35373
TV,Sony,,2.0,Android,28895
Washing Machine,Godrej,5.0,,Semi-Automatic,16136
Washing Machine,Samsung,9.0,2.0,Top Load,18441
Air Cooler,Blue Star,,2.0,Tower,8327
Air Cooler,Symphony,,4.0,Portable,5555
Air Cooler,Kenstar,,4.0,Window,11110
TV,TCL,,5.0,Android,44545
Air Cooler,Kenstar,,4.0,Window,7958
Washing Machine,LG,10.0,5.0,Top Load,26114
Air Cooler,Blue Star,,4.0,Portable,11471
Fridge,Godrej,199.0,2.0,Side-by-Side,40904
Air Cooler,Blue Star,,,Window,12601
TV,Samsung,,3.0,Android,29715
Fridge,LG,303.0,4.0,Side-by-Side,39724
Air Cooler,Symphony,,3.0,Portable,9127
Fridge,LG,497.0,5.0,Side-by-Side,27148
TV,Samsung,,4.0,Android,43063
TV,Mi,,2.0,Android,28035
Fridge,Godrej,195.0,2.0,Side-by-Side,23279
Air Cooler,Bajaj,,5.0,Window,7349
Fridge,Whirlpool,115.0,3.0,Single Door,32228
Fridge,Whirlpool,121.0,5.0,Single Door,18642
Air Conditioner,Voltas,,4.0,Window,46774
Washing Machine,Whirlpool,8.0,4.0,Semi-Automatic,11887
Air Cooler,Bajaj,,2.0,Window,7087
Air Cooler,Kenstar,,4.0,Window,8873
TV,Samsung,,4.0,HD Ready,40977
Air Cooler,Voltas,,4.0,Window,9650
Washing Machine,Godrej,10.0,3.0,Top Load,27270
Air Conditioner,Daikin,,2.0,Split,54432
Fridge,Samsung,492.0,4.0,Double Door,24911
Washing Machine,IFB,5.0,4.0,Semi-Automatic,22449
Air Cooler,Kenstar,,2.0,Portable,2801
TV,TCL,,,Android,38169
Air Conditioner,Carrier,,4.0,Split,37994
Air Cooler,Voltas,,4.0,Window,9792
Air Conditioner,Voltas,,,Split,56928
Washing Machine,Godrej,5.0,4.0,Front Load,18784
Washing Machine,Godrej,7.0,4.0,Semi-Automatic,16598
Air Cooler,Bajaj,,4.0,Portable,8497
Air Conditioner,Blue Star,,2.0,Split,55665
Washing Machine,IFB,10.0,4.0,Top Load,22832
Washing Machine,LG,5.0,5.0,Front Load,18628
Fridge,LG,191.0,4.0,Double Door,18691
Washing Machine,Godrej,5.0,,Top Load,25670
Air Cooler,Voltas,,4.0,Portable,7509
Fridge,LG,428.0,4.0,Single Door,36035
Fridge,Voltas,347.0,4.0,Single Door,35454
Fridge,Voltas,458.0,4.0,Single Door,15772
Air Conditioner,Carrier,,,Inverter,25620
Air Cooler,Blue Star,,,Tower,5925
Fridge,LG,252.0,5.0,Single Door,25930
TV,Samsung,,5.0,HD Ready,48871
TV,TCL,,,Android,28831
Washing Machine,Samsung,6.0,5.0,Semi-Automatic,22069
Air Conditioner,Voltas,,4.0,Window,54726
Washing Machine,IFB,10.0,,Top Load,21304
Washing Machine,Godrej,8.0,3.0,Top Load,11359
Air Conditioner,LG,,5.0,Inverter,48043
TV,LG,,3.0,Android,30769
Fridge,Samsung,401.0,3.0,Side-by-Side,31302
TV,TCL,,,Smart,27099
Air Conditioner,Blue Star,,5.0,Window,31865
Air Cooler,Kenstar,,3.0,Window,7975
Air Cooler,Symphony,,3.0,Portable,11865
Washing Machine,Whirlpool,7.0,,Semi-Automatic,23236
Washing Machine,LG,5.0,5.0,Top Load,22139
Air Conditioner,Daikin,,4.0,Window,53728
Air Conditioner,Voltas,,5.0,Split,38466
Fridge,Whirlpool,280.0,5.0,Single Door,16196
Fridge,Whirlpool,376.0,2.0,Side-by-Side,17946
Washing Machine,LG,8.0,5.0,Semi-Automatic,23643
Air Conditioner,Blue Star,,3.0,Split,46630
Fridge,Whirlpool,305.0,2.0,Side-by-Side,25426
Fridge,Voltas,310.0,2.0,Side-by-Side,17984
Air Cooler,Bajaj,,3.0,Portable,5468
Air Cooler,Symphony,,3.0,Tower,3979
Fridge,Samsung,480.0,4.0,Double Door,27783
TV,Samsung,,4.0,4K,37264
Air Cooler,Symphony,,,Tower,12335
Washing Machine,LG,8.0,3.0,Semi-Automatic,11418
Air Cooler,Voltas,,2.0,Portable,8227
Fridge,Whirlpool,441.0,2.0,Side-by-Side,29565
Washing Machine,Samsung,6.0,2.0,Semi-Automatic,15122
Washing Machine,Godrej,6.0,5.0,Top Load,12924
Washing Machine,Samsung,8.0,4.0,Front Load,27157
TV,Sony,,3.0,HD Ready,16118
Fridge,Whirlpool,341.0,3.0,Single Door,23213
Air Cooler,Blue Star,,3.0,Portable,4610
TV,TCL,,2.0,HD Ready,38703
Air Conditioner,LG,,5.0,Split,46706
Air Cooler,Symphony,,2.0,Window,8802
TV,Mi,,4.0,Smart,48008
Air Conditioner,Voltas,,2.0,Inverter,51077
Air Conditioner,Carrier,,2.0,Split,51757
TV,LG,,,Android,15643
Air Conditioner,Voltas,,2.0,Window,37861
Air Conditioner,Daikin,,,Window,42690
